POS_tagged_sentence,Logical_expression,Natural_sentence,Manchester_syntax
a/DT baseball/NN game/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,baseball game := event ^ >= 0 disrupt . ( traffic ) <EOS>,a baseball game is an event that can disrupt traffic.,baseball game EquivalentTo event and 0 disrupt traffic
a/DT basketball/NN game/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,basketball game := event ^ >= 0 disrupt . ( traffic ) <EOS>,a basketball game is an event that can disrupt traffic.,basketball game EquivalentTo event and 0 disrupt traffic
a/DT bicycle/NN race/NN is/VBZ something/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,bicycle race := >= 0 disrupt . ( traffic ) <EOS>,a bicycle race is something that can disrupt traffic.,bicycle race EquivalentTo 0 disrupt traffic
a/DT boat/NN race/NN or/CC regatta/NN is/VBZ something/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,boat race := >= 0 disrupt . ( traffic ) <EOS>,a boat race or regatta is something that can disrupt traffic.,boat race EquivalentTo 0 disrupt traffic
a/DT boat/NN show/NN is/VBZ something/NN which/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,boat show := >= 0 disrupt . ( traffic ) <EOS>,a boat show is something which can disrupt traffic.,boat show EquivalentTo 0 disrupt traffic
a/DT bull/NN fight/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,bull fight := event ^ >= 0 disrupt . ( traffic ) <EOS>,a bull fight is an event that can disrupt traffic.,bull fight EquivalentTo event and 0 disrupt traffic
a/DT commercial/JJ event/NN is/VBZ an/DT event/NN which/WDT could/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,commercial event := event ^ >= 0 disrupt . ( traffic ) <EOS>,a commercial event is an event which could disrupt traffic.,commercial event EquivalentTo event and 0 disrupt traffic
a/DT concert/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,concert := event ^ >= 0 disrupt . ( traffic ) <EOS>,a concert is an event that can disrupt traffic.,concert EquivalentTo event and 0 disrupt traffic
a/DT cultural/JJ event/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,cultural event := event ^ >= 0 disrupt . ( traffic ) <EOS>,a cultural event is an event that can disrupt traffic.,cultural event EquivalentTo event and 0 disrupt traffic
an/DT exhibition/NN is/VBZ a/DT major/JJ display/NN or/CC trade/NN show/VBP that/IN can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,exhibition := ( major display U major trade show ) ^ >= disrupt . ( traffic ) <EOS>,an exhibition is a major display or trade show that can disrupt traffic.,exhibition EquivalentTo major display or major trade show and disrupt traffic
a/DT football/NN match/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. ./. <EOS>/<EOS>,football match := event ^ >= 0 disrupt . ( traffic ) <EOS>,a football match is an event that can disrupt traffic ..,football match EquivalentTo event and 0 disrupt traffic
a/DT motor/NN show/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,motor show := event ^ >= 0 disrupt . ( traffic ) <EOS>,a motor show is an event that can disrupt traffic.,motor show EquivalentTo event and 0 disrupt traffic
a/DT motor/NN sport/NN race/NN meeting/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,motor sport race meeting := event ^ >= 0 disrupt . ( traffic ) <EOS>,a motor sport race meeting is an event that can disrupt traffic.,motor sport race meeting EquivalentTo event and 0 disrupt traffic
a/DT parade/NN is/VBZ a/DT formal/JJ display/NN or/CC organized/VBN procession/NN which/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,parade := ( formal display U organized procession ) ^ >= 0 disrupt . ( traffic ) <EOS>,a parade is a formal display or organized procession which can disrupt traffic.,parade EquivalentTo formal display or organized procession and 0 disrupt traffic
a/DT procession/NN or/CC an/DT organized/VBN procession/NN is/VBZ something/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,procession U organized procession := >= 0 disrupt . ( traffic ) <EOS>,a procession or an organized procession is something that can disrupt traffic.,procession or organized procession EquivalentTo 0 disrupt traffic
a/DT race/NN meeting/NN is/VBZ something/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,race meeting := >= 0 disrupt . ( traffic ) <EOS>,a race meeting is something that can disrupt traffic.,race meeting EquivalentTo 0 disrupt traffic
a/DT rugby/NN match/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,rugby match := event ^ >= 0 disrupt . ( traffic ) <EOS>,a rugby match is an event that can disrupt traffic.,rugby match EquivalentTo event and 0 disrupt traffic
a/DT tennis/NN tournament/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,tennis tournament := event ^ >= 0 disrupt . ( traffic ) <EOS>,a tennis tournament is an event that can disrupt traffic.,tennis tournament EquivalentTo event and 0 disrupt traffic
a/DT water/NN sport/NN meeting/NN is/VBZ an/DT event/NN that/WDT can/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,water sport meeting := event ^ >= 0 disrupt . ( traffic ) <EOS>,a water sport meeting is an event that can disrupt traffic.,water sport meeting EquivalentTo event and 0 disrupt traffic
a/DT winter/NN sport/NN meeting/NN or/CC event/NN is/VBZ an/DT event/NN that/WDT could/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,winter sport meeting U winter sport event := event ^ >= 0 disrupt . ( traffic ) <EOS>,a winter sport meeting or event is an event that could disrupt traffic.,winter sport meeting or winter sport event EquivalentTo event and 0 disrupt traffic
hail/NN are/VBP falling/VBG ice/NN pellet/NN or/CC frozen/JJ rain/NN ./. <EOS>/<EOS>,hail := falling ice pellet or frozen rain <EOS>,hail are falling ice pellet or frozen rain.,hail EquivalentTo falling ice pellet or frozen rain
heavy/JJ frost/NN is/VBZ a/DT thick/JJ coating/NN of/IN frost/NN ./. <EOS>/<EOS>,heavy frost := thick coating of frost <EOS>,heavy frost is a thick coating of frost.,heavy frost EquivalentTo thick coating of frost
shower/NN are/VBP light/JJ rain/NN or/CC intermittent/NN rain/NN ./. <EOS>/<EOS>,shower := light rain U intermittent rain <EOS>,shower are light rain or intermittent rain.,shower EquivalentTo light rain or intermittent rain
animal/NN on/IN the/DT infrastructure/NN may/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,animal on infrastructure := >= 0 disrupt . ( traffic ) <EOS>,animal on the infrastructure may disrupt traffic.,animal on infrastructure EquivalentTo 0 disrupt traffic
herd/NN of/IN animal/NN on/IN the/DT infrastructure/NN may/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,herd of animal on infrastructure := >= 0 disrupt . ( traffic ) <EOS>,herd of animal on the infrastructure may disrupt traffic.,herd of animal on infrastructure EquivalentTo 0 disrupt traffic
large/JJ animal/NN on/IN the/DT infrastructure/NN may/MD disrupt/VB traffic/NN ./. <EOS>/<EOS>,large animal on infrastructure := >= 0 disrupt . ( traffic ) <EOS>,large animal on the infrastructure may disrupt traffic.,large animal on infrastructure EquivalentTo 0 disrupt traffic
mud/NN slide/NN may/MD obstruct/VB transport/NN infrastructure/NN ./. <EOS>/<EOS>,mud := >= 0 obstruct . ( transport infrastructure ) <EOS>,mud slide may obstruct transport infrastructure.,mud EquivalentTo 0 obstruct transport infrastructure
rockfalls/NN may/MD obstruct/VB transport/NN infrastructure/NN ./. <EOS>/<EOS>,rockfalls := >= 0 obstruct . ( transport infrastructure ) <EOS>,rockfalls may obstruct transport infrastructure.,rockfalls EquivalentTo 0 obstruct transport infrastructure
a/DT damaged/VBN bridge/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged bridge := >= 0 cause . ( traffic disruption ) <EOS>,a damaged bridge may cause traffic disruption.,damaged bridge EquivalentTo 0 cause traffic disruption
a/DT damaged/VBN crash/NN barrier/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged crash := >= 0 cause . ( traffic disruption ) <EOS>,a damaged crash barrier may cause traffic disruption.,damaged crash EquivalentTo 0 cause traffic disruption
a/DT damaged/VBN flyover/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged flyover := >= 0 cause . ( traffic disruption ) <EOS>,a damaged flyover may cause traffic disruption.,damaged flyover EquivalentTo 0 cause traffic disruption
a/DT damaged/VBN gantry/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged gantry := >= 0 cause . ( traffic disruption ) <EOS>,a damaged gantry may cause traffic disruption.,damaged gantry EquivalentTo 0 cause traffic disruption
a/DT damaged/VBN road/NN surface/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged road := >= 0 cause . ( traffic disruption ) <EOS>,a damaged road surface may cause traffic disruption.,damaged road EquivalentTo 0 cause traffic disruption
a/DT damaged/VBN tunnel/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged tunnel := >= 0 cause . ( traffic disruption ) <EOS>,a damaged tunnel may cause traffic disruption.,damaged tunnel EquivalentTo 0 cause traffic disruption
a/DT damaged/VBN viaduct/NN may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,damaged viaduct := >= 0 cause . ( traffic disruption ) <EOS>,a damaged viaduct may cause traffic disruption.,damaged viaduct EquivalentTo 0 cause traffic disruption
a/DT broken/JJ down/RP vehicle/NN (/( s/PRP )/) may/MD cause/VB traffic/NN disruption/NN ./. <EOS>/<EOS>,broken down vehicle := >= 0 cause . ( traffic disruption ) <EOS>,a broken down vehicle ( s ) may cause traffic disruption.,broken down vehicle EquivalentTo 0 cause traffic disruption
a/DT product/NN is/VBZ everything/NN that/WDT is/VBZ produced/VBN by/IN an/DT event/NN ./. <EOS>/<EOS>,product := E produced by . ( event ) <EOS>,a product is everything that is produced by an event.,product EquivalentTo some produced by event
an/DT adaptor/NN is/VBZ a/DT user/NN that/WDT produce/VB an/DT adaptation/NN ./. <EOS>/<EOS>,adaptor := user ^ E produce . ( adaptation ) <EOS>,an adaptor is a user that produce an adaptation.,adaptor EquivalentTo user and some produce adaptation
an/DT action/NN is/VBZ the/DT exercise/NN of/IN a/DT right/NN ./. <EOS>/<EOS>,action := exercise of right <EOS>,an action is the exercise of a right.,action EquivalentTo exercise of right
a/DT measurement/JJ unit/NN label/NN is/VBZ a/DT datum/NN item/NN label/NN that/WDT denotes/VB a/DT unit/NN of/IN measure/NN ./. <EOS>/<EOS>,measurement unit label := datum item label ^ E denotes . ( unit of measure ) <EOS>,a measurement unit label is a datum item label that denotes a unit of measure.,measurement unit label EquivalentTo datum item label and some denotes unit of measure
a/DT dichotomous/JJ variable/JJ specification/NN is/VBZ a/DT variable/JJ that/WDT have/VB NUM/CD category/NN ./. <EOS>/<EOS>,dichotomous variable specification := variable ^ = NUM have category . ( T ) <EOS>,a dichotomous variable specification is a variable that have NUM category.,dichotomous variable specification EquivalentTo variable and NUM have category
a/DT kindergarten/NN is/VBZ the/DT location/NN that/WDT is/VBZ used/VBN for/IN pre-school/JJ education/NN ./. <EOS>/<EOS>,kindergarten := location ^ E used for . ( pre-school education ) <EOS>,a kindergarten is the location that is used for pre-school education.,kindergarten EquivalentTo location and some used for preschool education
a/DT school/NN is/VBZ a/DT building/NN or/CC location/NN that/WDT is/VBZ used/VBN for/IN instructional/JJ class/NN ./. <EOS>/<EOS>,school := ( building U location ) ^ E used for . ( instructional class ) <EOS>,a school is a building or location that is used for instructional class.,school EquivalentTo building or location and some used for instructional class
a/DT university/NN or/CC a/DT college/NN is/VBZ an/DT institution/NN of/IN higher/JJR education/NN ./. <EOS>/<EOS>,university U college := institution of higher education <EOS>,a university or a college is an institution of higher education.,university or college EquivalentTo institution of higher education
a/DT ski/NN lift/NN station/NN is/VBZ the/DT start/JJ point/NN of/IN a/DT ski/NN lift/NN ./. <EOS>/<EOS>,ski lift station := start point of ski lift <EOS>,a ski lift station is the start point of a ski lift.,ski lift station EquivalentTo start point of ski lift
a/DT ski/NN resort/NN is/VBZ a/DT down/RP hill/NN or/CC cross-country/NN ski/NN facility/NN ./. <EOS>/<EOS>,ski resort := down hill ski facility U cross-country ski facility <EOS>,a ski resort is a down hill or cross-country ski facility.,ski resort EquivalentTo down hill ski facility or crosscountry ski facility
a/DT datum/NN collection/NN by/IN censoring/VBG is/VBZ a/DT datum/NN collection/NN that/WDT result/NN in/IN a/DT collection/NN of/IN datum/NN generated/VBN from/IN an/DT censoring/NN ./. <EOS>/<EOS>,datum collection by censoring := datum collection ^ E result in . ( collection of <EOS> datum ^ E generated from . ( censoring ) ) <EOS>,a datum collection by censoring is a datum collection that result in a collection of datum generated from an censoring.,datum collection by censoring EquivalentTo datum collection and some result in collection of datum and some generated from censoring
a/DT datum/NN collection/NN from/IN survey/NN is/VBZ a/DT datum/NN collection/NN that/WDT result/NN in/IN a/DT collection/NN of/IN datum/NN generated/VBN from/IN a/DT survey/NN ./. <EOS>/<EOS>,datum collection from survey := datum collection ^ E result in . ( collection of <EOS> datum ^ E generated from . ( survey ) ) <EOS>,a datum collection from survey is a datum collection that result in a collection of datum generated from a survey.,datum collection from survey EquivalentTo datum collection and some result in collection of datum and some generated from survey
a/DT datum/NN collection/NN from/IN experiment/NN is/VBZ a/DT datum/NN collection/NN process/NN that/WDT result/NN in/IN a/DT collection/NN of/IN datum/NN generated/VBN from/IN an/DT experiment/NN ./. <EOS>/<EOS>,datum collection from experiment := datum collection ^ E result in . ( collection of <EOS> datum ^ E generated from . ( experiment ) ) <EOS>,a datum collection from experiment is a datum collection process that result in a collection of datum generated from an experiment.,datum collection from experiment EquivalentTo datum collection and some result in collection of datum and some generated from experiment
a/DT datum/NN collection/NN from/IN literature/NN is/VBZ a/DT datum/NN collection/NN process/NN that/WDT result/NN in/IN a/DT collection/NN of/IN datum/NN from/IN the/DT literature/NN ./. <EOS>/<EOS>,datum collection from literature := datum collection process ^ E result in . ( collection of datum from literature ) <EOS>,a datum collection from literature is a datum collection process that result in a collection of datum from the literature.,datum collection from literature EquivalentTo datum collection process and some result in collection of datum from literature
an/DT employee/NN is/VBZ a/DT person/NN that/WDT work/VB for/IN a/DT company/NN ./. <EOS>/<EOS>,employee := person ^ E work for . ( company ) <EOS>,an employee is a person that work for a company.,employee EquivalentTo person and some work for company
a/DT team/NN is/VBZ a/DT group/NN of/IN employee/NN ./. <EOS>/<EOS>,team := group of employee <EOS>,a team is a group of employee.,team EquivalentTo group of employee
each/DT employee/NN is/VBZ part/NN of/IN a/DT team/NN ./. <EOS>/<EOS>,employee := E part of . ( team ) <EOS>,each employee is part of a team.,employee EquivalentTo some part of team
a/DT manager/NN is/VBZ an/DT employee/NN that/WDT lead/VB at/IN least/JJS NUM/CD team/NN ./. <EOS>/<EOS>,manager := employee ^ >= NUM lead . ( team ) <EOS>,a manager is an employee that lead at least NUM team.,manager EquivalentTo employee and NUM lead team
a/DT top/JJ manager/NN is/VBZ a/DT manager/NN that/WDT lead/VB more/JJR than/IN NUM/CD team/NN ./. <EOS>/<EOS>,top manager := manager ^ >= NUM lead . ( team ) <EOS>,a top manager is a manager that lead more than NUM team.,top manager EquivalentTo manager and NUM lead team
every/DT employee/NN report/NN to/TO at/IN least/JJS NUM/CD manager/NN ./. <EOS>/<EOS>,employee := >= NUM report to . ( manager ) <EOS>,every employee report to at least NUM manager.,employee EquivalentTo NUM report to manager
every/DT employee/NN use/VB a/DT desk/NN ./. <EOS>/<EOS>,employee := E use . ( desk ) <EOS>,every employee use a desk.,employee EquivalentTo some use desk
desk/NN are/VBP piece/NN of/IN funriture/NN ./. <EOS>/<EOS>,desk := piece of funriture <EOS>,desk are piece of funriture.,desk EquivalentTo piece of funriture
piece/NN of/IN furniture/NN are/VBP artifact/VB that/IN furnish/VB a/DT room/NN ./. <EOS>/<EOS>,piece of furniture := artifact ^ E furnish . ( room ) <EOS>,piece of furniture are artifact that furnish a room.,piece of furniture EquivalentTo artifact and some furnish room
room/NN are/VBP part/NN of/IN the/DT building/NN ./. <EOS>/<EOS>,room := E part of . ( building ) <EOS>,room are part of the building.,room EquivalentTo some part of building
window/NN are/VBP part/NN of/IN a/DT room/NN ./. <EOS>/<EOS>,window := E part of . ( room ) <EOS>,window are part of a room.,window EquivalentTo some part of room
the/DT door/NN are/VBP part/NN of/IN room/NN ./. <EOS>/<EOS>,door := E part of . ( room ) <EOS>,the door are part of room.,door EquivalentTo some part of room
a/DT team/NN is/VBZ a/DT group/NN of/IN employee/NN that/WDT report/VB to/TO a/DT manager/NN ./. <EOS>/<EOS>,team := group of employee ^ E report to . ( manager ) <EOS>,a team is a group of employee that report to a manager.,team EquivalentTo group of employee and some report to manager
every/DT team/NN develop/VB at/IN least/JJS NUM/CD leading/VBG project/NN ./. <EOS>/<EOS>,team := >= NUM develop . ( leading project ) <EOS>,every team develop at least NUM leading project.,team EquivalentTo NUM develop leading project
a/DT team/NN follow/VB more/JJR than/IN NUM/CD side/NN project/NN ./. <EOS>/<EOS>,team := >= NUM follow . ( side project ) <EOS>,a team follow more than NUM side project.,team EquivalentTo NUM follow side project
every/DT team/NN develop/VB at/IN most/JJS NUM/CD project/NN ./. <EOS>/<EOS>,team := <= NUM develop . ( project ) <EOS>,every team develop at most NUM project.,team EquivalentTo NUM develop project
a/DT team/NN pursue/VB an/DT goal/NN ./. <EOS>/<EOS>,team := E pursue . ( goal ) <EOS>,a team pursue an goal.,team EquivalentTo some pursue goal
a/DT team/NN implement/VB trimestral/JJ activity/NN ./. <EOS>/<EOS>,team := E implement . ( trimestral activity ) <EOS>,a team implement trimestral activity.,team EquivalentTo some implement trimestral activity
each/DT project/NN have/VB exactly/RB NUM/CD deadline/NN ./. <EOS>/<EOS>,project := = NUM have deadline . ( T ) <EOS>,each project have exactly NUM deadline.,project EquivalentTo NUM have deadline
trimestral/JJ activity/NN are/VBP activity/NN that/WDT take/VB exactly/RB NUM/CD month/NN ./. <EOS>/<EOS>,trimestral activity := activity ^ = NUM take . ( month ) <EOS>,trimestral activity are activity that take exactly NUM month.,trimestral activity EquivalentTo activity and NUM take month
activity/NN are/VBP part/NN of/IN a/DT process/NN ./. <EOS>/<EOS>,activity := E part of . ( process ),activity are part of a process.,activity EquivalentTo some part of process
side/NN project/NN are/VBP a/DT type/NN of/IN project/NN ./. <EOS>/<EOS>,side project := project <EOS>,side project are a type of project.,side project EquivalentTo project
task/NN are/VBP part/NN of/IN a/DT project/NN ./. <EOS>/<EOS>,task := E part of . ( project ) <EOS>,task are part of a project.,task EquivalentTo some part of project
every/DT stakeholder/NN is/VBZ involved/VBN in/IN more/JJR than/IN NUM/CD project/NN ./. <EOS>/<EOS>,stakeholder := > NUM involved in . ( project ) <EOS>,every stakeholder is involved in more than NUM project.,stakeholder EquivalentTo NUM involved in project
every/DT project/NN report/VB to/TO at/IN least/JJS NUM/CD and/CC at/IN most/JJS NUM/CD stakeholder/NN ./. <EOS>/<EOS>,project := ( >= NUM && <= NUM ) report to . ( stakeholder ) <EOS>,every project report to at least NUM and at most NUM stakeholder.,project EquivalentTo NUM NUM report to stakeholder
each/DT project/NN have/VB a/DT leader/NN ./. <EOS>/<EOS>,project := E have leader . ( T ) <EOS>,each project have a leader.,project EquivalentTo some have leader
positron/NN are/VBP beta/JJ particle/NN ./. <EOS>/<EOS>,positron := beta particle <EOS>,positron are beta particle.,positron EquivalentTo beta particle
fermion/NN are/VBP part/NN of/IN complex/JJ particle/NN ./. <EOS>/<EOS>,fermion := E part of . ( complex particle ) <EOS>,fermion are part of complex particle.,fermion EquivalentTo some part of complex particle
lepton/NN are/VBP fermion/NN ./. <EOS>/<EOS>,lepton := fermion <EOS>,lepton are fermion.,lepton EquivalentTo fermion
lepton/NN are/VBP subatomic/JJ particle/NN ./. <EOS>/<EOS>,lepton := subatomic particle <EOS>,lepton are subatomic particle.,lepton EquivalentTo subatomic particle
boson/NN are/VBP subatomic/JJ particle/NN ./. <EOS>/<EOS>,boson := subatomic particle <EOS>,boson are subatomic particle.,boson EquivalentTo subatomic particle
the/DT manganese/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,manganese atom := atom <EOS>,the manganese atom is a atom.,manganese atom EquivalentTo atom
a/DT carbon/NN atom/NN is/VBZ also/RB a/DT atom/NN ./. <EOS>/<EOS>,carbon atom := atom <EOS>,a carbon atom is also a atom.,carbon atom EquivalentTo atom
the/DT gadolinium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,gadolinium atom := atom <EOS>,the gadolinium atom is a atom.,gadolinium atom EquivalentTo atom
the/DT ununpentium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,ununpentium atom := atom <EOS>,the ununpentium atom is a atom.,ununpentium atom EquivalentTo atom
nickel/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,nickel atom := atom <EOS>,nickel atom is a atom.,nickel atom EquivalentTo atom
the/DT magnesium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,magnesium atom := atom <EOS>,the magnesium atom is a atom.,magnesium atom EquivalentTo atom
rubidium/NN atom/NN are/VBP also/RB atom/NN ./. <EOS>/<EOS>,rubidium atom := atom <EOS>,rubidium atom are also atom.,rubidium atom EquivalentTo atom
the/DT rhenium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,rhenium atom := atom <EOS>,the rhenium atom is a atom.,rhenium atom EquivalentTo atom
carbon/NN atom/NN are/VBP a/DT type/NN of/IN atom/NN ./. <EOS>/<EOS>,carbon atom := atom <EOS>,carbon atom are a type of atom.,carbon atom EquivalentTo atom
the/DT unununium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,unununium atom := atom <EOS>,the unununium atom is a atom.,unununium atom EquivalentTo atom
the/DT ununhexium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,ununhexium atom := atom <EOS>,the ununhexium atom is a atom.,ununhexium atom EquivalentTo atom
the/DT neodymium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,neodymium atom := atom <EOS>,the neodymium atom is a atom.,neodymium atom EquivalentTo atom
the/DT lanthanum/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,lanthanum atom := atom <EOS>,the lanthanum atom is a atom.,lanthanum atom EquivalentTo atom
the/DT argon/NN atom/NN are/VBP a/DT type/NN of/IN atom/NN ./. <EOS>/<EOS>,argon atom := atom <EOS>,the argon atom are a type of atom.,argon atom EquivalentTo atom
the/DT thallium/NN atom/NN is/VBZ also/RB a/DT atom/NN ./. <EOS>/<EOS>,thallium atom := atom <EOS>,the thallium atom is also a atom.,thallium atom EquivalentTo atom
the/DT barium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,barium atom := atom <EOS>,the barium atom is a atom.,barium atom EquivalentTo atom
the/DT zirconium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,zirconium atom := atom <EOS>,the zirconium atom is a atom.,zirconium atom EquivalentTo atom
the/DT berkelium/NN atom/NN are/VBP also/RB atom/NN ./. <EOS>/<EOS>,berkelium atom := atom <EOS>,the berkelium atom are also atom.,berkelium atom EquivalentTo atom
the/DT strontium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,strontium atom := atom <EOS>,the strontium atom is a atom.,strontium atom EquivalentTo atom
the/DT selenium/NN atom/NN is/VBZ a/DT atom/NN ./. <EOS>/<EOS>,selenium atom := atom <EOS>,the selenium atom is a atom.,selenium atom EquivalentTo atom
the/DT carbon/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,carbon atom = NUM have proton . ( T ) <EOS>,the carbon atom have NUM proton.,carbon atom NUM have proton
the/DT xenon/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,xenon atom = NUM have proton . ( T ) <EOS>,the xenon atom have NUM proton.,xenon atom NUM have proton
the/DT silicon/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,silicon atom = NUM have proton . ( T ) <EOS>,the silicon atom have NUM proton.,silicon atom NUM have proton
the/DT nickel/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,nickel atom = NUM have proton . ( T ) <EOS>,the nickel atom have NUM proton.,nickel atom NUM have proton
the/DT neon/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,neon atom = NUM have proton . ( T ) <EOS>,the neon atom have NUM proton.,neon atom NUM have proton
a/DT rhodium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,rhodium atom = NUM have proton . ( T ) <EOS>,a rhodium atom have NUM proton.,rhodium atom NUM have proton
a/DT arsenic/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,arsenic atom = NUM have proton . ( T ) <EOS>,a arsenic atom have NUM proton.,arsenic atom NUM have proton
a/DT chlorine/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,chlorine atom = NUM have proton . ( T ) <EOS>,a chlorine atom have NUM proton.,chlorine atom NUM have proton
a/DT manganese/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,manganese atom = NUM have proton . ( T ) <EOS>,a manganese atom have NUM proton.,manganese atom NUM have proton
all/DT oxygen/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,oxygen atom = NUM have proton . ( T ) <EOS>,all oxygen atom have NUM proton.,oxygen atom NUM have proton
all/DT thallium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,thallium atom = NUM have proton . ( T ) <EOS>,all thallium atom have NUM proton.,thallium atom NUM have proton
all/DT antimony/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,antimony atom = NUM have proton . ( T ) <EOS>,all antimony atom have NUM proton.,antimony atom NUM have proton
all/DT germanium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,germanium atom = NUM have proton . ( T ) <EOS>,all germanium atom have NUM proton.,germanium atom NUM have proton
all/DT scandium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,scandium atom = NUM have proton . ( T ) <EOS>,all scandium atom have NUM proton.,scandium atom NUM have proton
all/DT chromium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,chromium atom = NUM have proton . ( T ) <EOS>,all chromium atom have NUM proton.,chromium atom NUM have proton
molybdenum/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,molybdenum atom = NUM have proton . ( T ) <EOS>,molybdenum atom have NUM proton.,molybdenum atom NUM have proton
phosphorus/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,phosphorus atom = NUM have proton . ( T ) <EOS>,phosphorus atom have NUM proton.,phosphorus atom NUM have proton
iodine/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,iodine atom = NUM have proton . ( T ) <EOS>,iodine atom have NUM proton.,iodine atom NUM have proton
gallium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,gallium atom = NUM have proton . ( T ) <EOS>,gallium atom have NUM proton.,gallium atom NUM have proton
radium/NN atom/NN have/VB NUM/CB proton/NN ./. <EOS>/<EOS>,radium atom = NUM have proton . ( T ) <EOS>,radium atom have NUM proton.,radium atom NUM have proton
carnivor/NN are/VBP a/DT type/NN of/IN animal/NN ./. <EOS>/<EOS>,carnivor := animal <EOS>,carnivor are a type of animal.,carnivor EquivalentTo animal
